====================================================
 WISP-FLOW INVENTORY — FULL CLEANED SPECIMEN LIST
====================================================
Total DB rows fetched : 3402
Unique specimens      : 1447
Total units in stock  : 39,433
----------------------------------------------------
Out of Stock (0)      : 749
Low Stock    (1-19)   : 308
Medium Stock (20-49)  : 176
High Stock   (50+)    : 214
====================================================

#    | Scientific Name                              | Qty   | Condition    | Family
 423 | Delias aruna                                 |     0 | Out of Stock | Nymphalidae
 424 | Delias assorted                              |   120 | High         | -
 425 | Delias belisama                              |     5 | Out of Stock | -
 426 | Delias belladonna                            |     0 | Out of Stock | Nymphalidae
 427 | Delias caeneus caeneus                       |     0 | Out of Stock | -
 428 | Delias caeneus female                        |    42 | Medium       | -
 429 | Delias caeneus male                          |   100 | High         | -
 430 | Delias celebes                               |    15 | Medium       | -
 431 | Delias cepora                                |    10 | Medium       | -
 432 | Delias crithoe                               |     0 | Out of Stock | -
 433 | Delias cunningputti                          |     0 | Out of Stock | -
 434 | Delias descombesi                            |    34 | Medium       | Nymphalidae
 435 | Delias dixeyi                                |    63 | High         | -
 436 | Delias eichorni                              |     0 | Out of Stock | -
 437 | Delias gilliarsi                             |     0 | Out of Stock | -
 438 | Delias halconensis                           |     0 | Out of Stock | -
 439 | Delias hallstromi                            |     0 | Out of Stock | -
 440 | Delias heninggia                             |     0 | Out of Stock | -
 441 | Delias hyparate                              |    13 | Medium       | Nymphalidae
 442 | Delias hypomelas                             |     0 | Out of Stock | -
 443 | Delias hypsea                                |     0 | Out of Stock | -
 444 | Delias iltis                                 |     0 | Out of Stock | -
 445 | Delias isocharis                             |     0 | Out of Stock | -
 446 | Delias kota                                  |     0 | Out of Stock | -
 447 | Delias lada                                  |     0 | Out of Stock | -
 448 | Delias levicki                               |     0 | Out of Stock | -
 449 | Delias ligata                                |     0 | Out of Stock | -
 450 | Delias lucias                                |     0 | Out of Stock | -
 451 | Delias luctosa                               |     0 | Out of Stock | -
 452 | Delias meeki                                 |     0 | Out of Stock | -
 453 | Delias microsticha                           |     0 | Out of Stock | -
 454 | Delias mira                                  |     0 | Out of Stock | -
 455 | Delias nais                                  |     0 | Out of Stock | -
 456 | Delias neipelti                              |     0 | Out of Stock | Nymphalidae
 457 | Delias oraia                                 |     0 | Out of Stock | -
 458 | Delias perspicua                             |    29 | Medium       | -
 459 | Delias pheres                                |     0 | Out of Stock | -
 460 | Delias sagessa                               |     0 | Out of Stock | -
 461 | Delias sambawana                             |     0 | Out of Stock | -
 462 | Delias sp                                    |     0 | Out of Stock | -
 463 | Delias splendida                             |    12 | Medium       | -
 464 | Delias timorensis  Male                      |    17 | Medium       | -
 465 | Delias timorensis Female                     |    20 | Medium       | -
 466 | Delias woodi                                 |     0 | Out of Stock | -
 467 | Demochroa gratiosa                           |    48 | Medium       | Buprestidae
 468 | Demochroa lacordairei                        |    19 | Out of Stock | Cetonidae
 469 | Dercas enara                                 |    80 | Out of Stock | -
 470 | Deroplatys dessicata                         |     0 | Out of Stock | -
 471 | Deroplatys exsiccata                         |     0 | Out of Stock | -
 472 | Deroplatys lobata                            |     0 | Out of Stock | -
 473 | Deroplatys truncata                          |     0 | Out of Stock | -
 474 | Diabolica                                    |     7 | Medium       | Zoephiridae
 475 | Diaethria clymena                            |    81 | High         | -
 476 | Diastocera wallichi                          |     0 | Out of Stock | Cerambycidae
 477 | Dichorragia nesimachus                       |     0 | Out of Stock | -
 478 | Dicronocephalus shinomurai                   |     0 | Out of Stock | Cetonidae
 479 | Dicronorhina derbyana                        |     5 | Out of Stock | Cetonidae
 480 | Dicronorhina derbyana (brown white)          |     7 | Medium       | Cetonidae
 481 | Dicronorhina micans                          |     3 | Low          | Cetonidae
 482 | Diesbachia tamryris                          |     2 | Low          | -
 483 | Diesbachia tamyris                           |    10 | Medium       | -
 484 | Dihammus sp                                  |     0 | Out of Stock | Cerambycidae
 485 | Dihammus ssp                                 |     0 | Out of Stock | Cerambycidae
 486 | Dilochrosis balteata                         |     0 | Out of Stock | Cetonidae
 487 | Dinaponera grandis                           |     5 | Medium       | -
 488 | Dione juno                                   |    25 | Medium       | -
 489 | Diplopoda sp                                 |     0 | Out of Stock | -
 490 | Discophora necho                             |     0 | Out of Stock | -
 491 | Dismorphia nemesis                           |     8 | Low          | -
 492 | Doleschallia bisaltide                       |    27 | Medium       | -
 493 | Dorcas alcides                               |    69 | High         | Lucanidae
 494 | Dorcas antaeus                               |     0 | Out of Stock | Lucanidae
 495 | Dorcas curvidens                             |     0 | Out of Stock | Lucanidae
 496 | Dorcas detanii                               |     0 | Out of Stock | Lucanidae
 497 | Dorcas enara                                 |    90 | High         | Lucanidae
 498 | Dorcas meeki                                 |     0 | Out of Stock | Lucanidae
 499 | Dorcas reichei                               |     0 | Out of Stock | Lucanidae
 500 | Dorcas serrognathus                          |     0 | Out of Stock | Lucanidae
 501 | Dorcas t.gypaetus                            |     0 | Out of Stock | Lucanidae
 502 | Dorcas titanus                               |     0 | Out of Stock | Lucanidae
 503 | Dorcas tityus                                |     0 | Out of Stock | Lucanidae
 504 | Dorcas typhon                                |     0 | Out of Stock | Lucanidae
 505 | Dorysthenes walkeri                          |     0 | Out of Stock | Lucanidae
 506 | Doxocopa aghatina                            |     0 | Out of Stock | -
 507 | Doxocopa blue color                          |    38 | Medium       | -
 508 | Doxocopa cherubina                           |     6 | Medium       | -
 509 | Doxocopa lavina                              |     3 | Low          | Nymphalidae
 510 | Doxocopa sp                                  |    30 | Medium       | -
 511 | Doxocopa zunilda                             |     0 | Out of Stock | -
 512 | dragonflies mix                              |     0 | Out of Stock | -
 513 | Dryadula phaetusa                            |     0 | Out of Stock | Nymphalidae
 514 | Dryas julia                                  |   120 | High         | -
 515 | Dundubia spiculata                           |     0 | Out of Stock | -
 516 | Dyanstes grantii                             |     2 | Low          | Dynastinae
 517 | Dynamine athemon                             |    40 | Medium       | -
 518 | Dysphania subreleta                          |     0 | Out of Stock | -
 519 | Eciton quadrigtune                           |     0 | Out of Stock | Chrysomelidae
 520 | Elimnias agondas                             |     0 | Out of Stock | Nymphalidae
 521 | Elymnias agondas                             |    10 | Medium       | -
 522 | Enolotrupes sharpi                           |     0 | Out of Stock | Scarabeidae
 523 | Epepeotes rarus                              |     0 | Out of Stock | Cerambycidae
 524 | Epicaerus imbricatus                         |     0 | Out of Stock | Curculionidae
 525 | Epiphora mythimnia                           |     0 | Out of Stock | -
 526 | Erasmia pulchera                             |    23 | Out of Stock | -
 527 | Eterusia repleta                             |    42 | Medium       | -
 528 | Eterusia replete                             |    22 | Medium       | -
 529 | Euchirus longimanus                          |    17 | Medium       | Cerambycidae
 530 | Euchloron megaera                            |     0 | Out of Stock | -
 531 | Euchroea auripimenta                         |     8 | Medium       | Cetonidae
 532 | Euchroea coelestis                           |     0 | Out of Stock | Cetonidae
 533 | Euchroea histrionica                         |   250 | High         | Cetonidae
 534 | Euchroma gigantea                            |    50 | Medium       | Buprestidae
 535 | Eudicella morgani fem                        |     4 | Low          | Cetonidae
 536 | Eudicella shultzeorum fem                    |     7 | Medium       | Cetonidae
 537 | Eumorpha achemon                             |    74 | High         | -
 538 | Eunica alamena                               |     3 | Out of Stock | -
 539 | Eunica eurota                                |     0 | Out of Stock | -
 540 | Eunica sophonisba                            |     5 | Medium       | -
 541 | Eupatorus beccarii                           |     0 | Out of Stock | Dynastinae
 542 | Eupatorus burmanicus                         |    40 | Medium       | Dynastinae
 543 | Eupatorus gracilicornis                      |     2 | Low          | Dynastinae
 544 | Eupatorus gracillicornis                     |     0 | Out of Stock | Curculionidae
 545 | Euphaea refulgens                            |     0 | Out of Stock | -
 546 | Euphaedra medon                              |     2 | Low          | -
 547 | Euphaedra preussi                            |     1 | Low          | -
 548 | Euphaedra sp.                                |    40 | Medium       | -
 549 | Euphaedra themis                             |     0 | Out of Stock | -
 550 | Eupholus bennetti                            |     0 | Out of Stock | Curculionidae
 551 | Eupholus magnificua                          |     0 | Out of Stock | Curculionidae
 552 | Eupholus schoenherri                         |     0 | Out of Stock | Curculionidae
 553 | Eupholus ssp                                 |   412 | High         | Curculionidae
 554 | Euploea diana                                |     0 | Out of Stock | -
 555 | Euploea diocletianus                         |     0 | Out of Stock | -
 556 | Euploea midamus                              |     0 | Out of Stock | -
 557 | Euploea moorei                               |     0 | Out of Stock | -
 558 | Euploea mulciber                             |     0 | Out of Stock | Nymphalidae
 559 | Euploea redtenbacheri                        |     0 | Out of Stock | -
 560 | Euploea viola                                |     0 | Out of Stock | -
 561 | Eurema hecabe                                |   228 | High         | -
 562 | Eurema sp.                                   |     0 | Out of Stock | -
 563 | Euripus nyctellius                           |     0 | Out of Stock | -
 564 | Euroceses grandis                            |    22 | Medium       | Cetonidae
 565 | Eurycantha horrida                           |     0 | Out of Stock | -
 566 | Eurycnema verisubra                          |     0 | Out of Stock | -
 567 | Eurycosses grandis                           |    14 | Medium       | -
 568 | Eurynecrosia nigrofasciata                   |     5 | Medium       | -
 569 | Eurypelma cavimanus                          |    20 | Medium       | Theraphosidae
 570 | Eurypelma spinicrus                          |     0 | Out of Stock | Theraphosidae
 571 | Eurytides agesilaus                          |    10 | Medium       | -
 572 | Eurytides agetes                             |     0 | Out of Stock | -
 573 | Eurytides columbus                           |     0 | Out of Stock | Nymphalidae
 574 | Eurytides dolicaon                           |     0 | Out of Stock | -
 575 | Eurytides harmodius                          |     0 | Out of Stock | Nymphalidae
 576 | Eurytides leucaspis                          |     0 | Out of Stock | -
 577 | Eurytides pausanias                          |     0 | Out of Stock | -
 578 | Eurytides protesilaus                        |   210 | High         | -
 579 | Eurytides telesilaus                         |    31 | Medium       | -
 580 | Eurytides thyastes                           |    25 | Medium       | -
 581 | Eurytides xinias                             |     0 | Out of Stock | -
 582 | Eurytrachellelus titanus                     |     0 | Out of Stock | Lucanidae
 583 | Eurytrachellelus tityus                      |     0 | Out of Stock | Lucanidae
 584 | Euthalia dirtea                              |     0 | Out of Stock | -
 585 | Euthalia recta                               |     0 | Out of Stock | -
 586 | Euthalia teuta                               |     0 | Out of Stock | -
 587 | Euxanthe crossleyi                           |     0 | Out of Stock | -
 588 | Euxanthe eurinome                            |    10 | Medium       | -
 589 | Euxanthe trajanus                            |     2 | Low          | -
 590 | Evenus regalis                               |     9 | Out of Stock | -
 591 | Extatosoma popoi horridos                    |     0 | Out of Stock | -
 592 | Extatosoma tiartum                           |     5 | Out of Stock | -
 593 | Faunula faunula                              |     0 | Out of Stock | -
 594 | Formotosena montivaga                        |     0 | Out of Stock | -
 595 | Fulgora candelalia                           |     0 | Out of Stock | -
 596 | Fulgora castresii                            |     0 | Out of Stock | -
 597 | Fulgora latenaria                            |    25 | Out of Stock | -
 598 | Fulgora panthicodas                          |     0 | Out of Stock | -
 599 | Gaeana cheni                                 |     0 | Out of Stock | -
 600 | Gaeana festiva   orange                      |     0 | Out of Stock | -
 601 | Gaeana festiva  white                        |     5 | Medium       | -
 602 | Gelaeus walkeri                              |    43 | Medium       | -
 603 | Genus Speicies                               |     2 | Low          | Family
 604 | Glycphana moluccarum                         |     0 | Out of Stock | Cetonidae
 605 | Godyris duillia                              |     0 | Out of Stock | -
 606 | Golafa aecus male                            |     0 | Out of Stock | Scarabeidae
 607 | Golafa porteri female                        |    20 | Medium       | Scarabeidae
 608 | Goliathus goliathus                          |     6 | Medium       | -
 609 | Goliathus meleagris                          |    34 | Medium       | -
 610 | Goliathus orientalis                         |     0 | Out of Stock | -
 611 | Goliathus orientalis female                  |    10 | Out of Stock | -
 612 | Goliatus cacicus                             |     0 | Out of Stock | Cetonidae
 613 | Goliatus goliatus                            |     0 | Out of Stock | Cetonidae
 614 | Goliatus orientalis                          |     0 | Out of Stock | Cetonidae
 615 | Golofa aecus (M)                             |    16 | Out of Stock | Dynastinae
 616 | Golofa porteri                               |     0 | Out of Stock | Dynastinae
 617 | Gonepteryx amintha                           |     0 | Out of Stock | -
 618 | Graphium agamemnon                           |     1 | Out of Stock | Nymphalidae
 619 | Graphium androcles                           |   170 | High         | -
 620 | Graphium angolanus                           |    32 | Medium       | Nymphalidae
 621 | Graphium antheus                             |   100 | High         | Nymphalidae
 622 | Graphium antiphates                          |     0 | Out of Stock | -
 623 | Graphium aristeus                            |    70 | Low          | Nymphalidae
 624 | Graphium codrus                              |    30 | Medium       | -
 625 | Graphium colonna                             |     1 | Low          | -
 626 | Graphium delesserti                          |     0 | Out of Stock | -
 627 | Graphium doson                               |    10 | Out of Stock | -
 628 | Graphium eurypylus                           |     0 | Out of Stock | Nymphalidae
 629 | Graphium evemon                              |   660 | High         | -
 630 | Graphium leonidas                            |   110 | High         | Nymphalidae
 631 | Graphium macareus                            |     0 | Out of Stock | -
 632 | Graphium macfarlanei                         |     0 | Out of Stock | Nymphalidae
 633 | Graphium megarus                             |     0 | Out of Stock | Nymphalidae
 634 | Graphium meyeri                              |     0 | Out of Stock | -
 635 | Graphium milon                               |     0 | Out of Stock | -
 636 | Graphium n. swinhoe                          |     0 | Out of Stock | -
 637 | Graphium polycenes                           |   294 | High         | -
 638 | Graphium ramaceus                            |     0 | Out of Stock | -
 639 | Graphium rhesus                              |   150 | High         | Papilionidae
 640 | Graphium ridleyanus                          |     0 | Out of Stock | -
 641 | Graphium sarpedon                            |    65 | High         | Papilionidae
 642 | Graphium stressmani                          |    12 | Medium       | -
 643 | Graphium Thatshukovi                         |     0 | Out of Stock | -
 644 | Graphium tynderaeus                          |    23 | Medium       | -
 645 | Graphium weiskei                             |   689 | High         | Papilionidae
 646 | Gymnopholus sp                               |     0 | Out of Stock | Curculionidae
 647 | Haetera piera                                |    90 | High         | -
 648 | Haeteras sp                                  |     0 | Out of Stock | -
 649 | Hamadryas amphinome                          |    18 | Out of Stock | -
 650 | Hamadryas arinome                            |    10 | Medium       | -
 651 | Hamadryas fornax                             |     2 | Out of Stock | -
 652 | Hamadryas guatemalena                        |     0 | Out of Stock | -
 653 | Hamadryas laodamia  Female                   |    70 | High         | -
 654 | Hamadryas laodamia Male                      |    70 | High         | -
 655 | Hamadryas sp                                 |    55 | High         | -
 656 | Hamadryas velutina                           |     5 | Medium       | -
 657 | Hapalotremus carabaya                        |    28 | Out of Stock | Thelphonidae
 658 | Hapalotremus spinicrus                       |    18 | Out of Stock | Theraphosidae
 659 | Haplopelma carabaya                          |    20 | Medium       | Theraphosidae
 660 | Haplopelma minax (L)                         |     2 | Low          | Theraphosidae
 661 | Haplopelma minax (M)                         |     2 | Low          | Theraphosidae
 662 | Haplopelma sp                                |    32 | Out of Stock | Theraphosidae
 663 | Haplopelma tongmianesis                      |     3 | Low          | Theraphosidae
 664 | Hebomoia g. aturia                           |     0 | Out of Stock | -
 665 | Hebomoia glaucippe                           |    51 | High         | Papilionidae
 666 | Hebomoia leucippe                            |    50 | Medium       | Papilionidae
 667 | Hebomoia ssp                                 |     0 | Out of Stock | Papilionidae
 668 | Hecyra sp                                    |   104 | Out of Stock | Cerambycidae
 669 | Heliconius burneyi                           |     0 | Out of Stock | -
 670 | Heliconius doris                             |     0 | Out of Stock | -
 671 | Heliconius erato                             |     0 | Out of Stock | -
 672 | Heliconius julia                             |     0 | Out of Stock | -
 673 | Heliconius juno                              |     0 | Out of Stock | -
 674 | Heliconius melpomene                         |     0 | Out of Stock | Papilionidae
 675 | Heliconius mixed                             |     0 | Out of Stock | -
 676 | Heliconius numata                            |     4 | Out of Stock | -
 677 | Heliconius ssp                               |   150 | High         | -
 678 | Heliconius wallacei                          |     0 | Out of Stock | -
 679 | Helicopis cupido                             |     9 | Out of Stock | -
 680 | Heliocopris bucephalus                       |    70 | High         | Scarabeidae
 681 | Heliocopris dominus                          |    38 | Out of Stock | Scarabeidae
 682 | Heliocropris bucephalus                      |    70 | High         | Dynastinae
 683 | Heliocropris dominus                         |    29 | Medium       | Dynastinae
 684 | Hemicladus buqueti                           |    20 | Out of Stock | Cerambycidae
 685 | hemipepsis speculifer                        |     5 | Out of Stock | -
 686 | Hemiptera incarnata                          |     0 | Out of Stock | -
 687 | Hemiptera sanguinea                          |    60 | High         | -
 688 | Hemiptera sp                                 |   170 | High         | -
 689 | Hemiptera sp 5                               |   100 | High         | -
 690 | Hemiptera sp18                               |    80 | High         | -
 691 | Herena sumatrana                             |     0 | Out of Stock | -
 692 | herodula patellifera                         |    13 | Medium       | -
 693 | Hestina assimilis                            |     0 | Out of Stock | -
 694 | Heteremetrus ferina                          |    57 | High         | Thelphonidae
 695 | Heteremetrus laoticus                        |     0 | Out of Stock | Arachnida 
 696 | Heteropteryx dilitata     FEMALE             |    10 | Medium       | -
 697 | Heteropteryx dilitata    MALE                |    25 | Medium       | -
 698 | Heteropteryx grayii                          |     0 | Out of Stock | -
 699 | Heterorrhina sexmaculata                     |     0 | Out of Stock | Cetonidae
 700 | Hetrometrus spinifer                         |     0 | Out of Stock | Scorpiones
 701 | Hexarthrius buqueti                          |    10 | Medium       | Lucanidae
 702 | Hexarthrius parryi                           |    35 | Medium       | Lucanidae
 703 | Hexarthrius rhinoceros                       |     0 | Out of Stock | Lucanidae
 704 | Hierodula venosa                             |     0 | Out of Stock | -
 705 | Historis odius                               |    12 | Medium       | -
 706 | Hoplocerambyx sp                             |     0 | Out of Stock | Cerambycidae
 707 | Huechys incarnata                            |    74 | High         | -
 708 | Hyalophora cecropia                          |     0 | Out of Stock | -
 709 | Hyles gallil                                 |     0 | Out of Stock | -
 710 | Hyles lineata                                |     0 | Out of Stock | -
 711 | Hymenoptera scoliidae sp                     |     3 | Low          | -
 712 | Hymenoptera sp                               |     0 | Out of Stock | -
 713 | Hypochlora batesia                           |     0 | Out of Stock | -
 714 | Hypoctonus rangunensis                       |     0 | Out of Stock | Thelphonidae
 715 | Hypolimnas alimena                           |     0 | Out of Stock | -
 716 | Hypolimnas antevorta                         |     0 | Out of Stock | -
 717 | Hypolimnas apollina                          |     0 | Out of Stock | -
 718 | Hypolimnas bolina                            |     0 | Out of Stock | Papilionidae
 719 | Hypolimnas deois                             |     0 | Out of Stock | -
 720 | Hypolimnas dexithea                          |    70 | High         | -
 721 | Hypolimnas dubius                            |     0 | Out of Stock | Papilionidae
 722 | Hypolimnas hypasia                           |     0 | Out of Stock | -
 723 | Hypolimnas monteironis                       |     3 | Low          | -
 724 | Hypolimnas pandarus                          |    49 | Medium       | -
 725 | Hypolimnas polycletus                        |     0 | Out of Stock | -
 726 | Hypolimnas salmacis                          |    15 | Medium       | -
 727 | Hypolimnas sp.                               |     5 | Out of Stock | -
 728 | Hypolimnas usambara                          |     2 | Low          | -
 729 | Hypomeces squamosus                          |    80 | High         | -
 730 | Idea b. morosiana                            |    90 | High         | -
 731 | Idea blanchardi                              |   175 | High         | Papilionidae
 732 | Idea d'urvillei                              |     0 | Out of Stock | -
 733 | Idea idea                                    |   205 | High         | -
 734 | Idea idea morotai                            |    45 | Medium       | -
 735 | Idea l.chersonesia                           |     0 | Out of Stock | Papilionidae
 736 | Idea leuconoe                                |   350 | High         | -
 737 | Idea leuconoe clara                          |    15 | Out of Stock | -
 738 | Idea lynceus                                 |     0 | Out of Stock | -
 739 | Idea lynceus lynceus                         |    38 | Medium       | -
 740 | Idea wakatobi                                |    30 | Medium       | -
 741 | Ideopsis gaura                               |    38 | Medium       | Papilionidae
 742 | Ideopsis gaura perakana                      |    50 | Medium       | Papilionidae
 743 | Ideopsis juventa                             |     0 | Out of Stock | -
 744 | Idolomantis diabolica                        |     7 | Medium       | -
 745 | Imassus testaceus                            |     0 | Out of Stock | -
 746 | Imbrasia epimenthea                          |     6 | Medium       | -
 747 | Inachis io                                   |    15 | Medium       | -
 748 | Ingrisma burmanica                           |    45 | Medium       | Cetonidae
 749 | Ingrisma euryrrhina                          |    35 | Medium       | Cetonidae
 750 | Ischiopsopha ceramemsis                      |    90 | High         | Cetonidae
 751 | Ischiopsopha hylar                           |     0 | Out of Stock | Cetonidae
 752 | Ischiopsopha jamesi                          |     0 | Out of Stock | Cetonidae
 753 | Ischiopsopha lucivorax                       |     0 | Out of Stock | Cetonidae
 754 | Ischiopsopha ritsemae                        |    85 | High         | Cetonidae
 755 | Ischiopsopha wallacei                        |     8 | Medium       | Cetonidae
 756 | Ithominae                                    |     0 | Out of Stock | -
 757 | Jamines eunchylas                            |    30 | Medium       | -
 758 | Jumnos ruckeri                               |    34 | Medium       | Cetonidae
 759 | Junonia almania                              |    90 | High         | -
 760 | Junonia hierta                               |     0 | Out of Stock | -
 761 | Junonia orithya                              |     0 | Out of Stock | -
 762 | Junonia sp.                                  |    65 | High         | -
 763 | Junonia westermanni                          |     0 | Out of Stock | Papilionidae
 764 | Kalidasa nigromaculata                       |    10 | Out of Stock | -
 765 | Kalimna                                      |     5 | Medium       | -
 766 | Kallima inachus                              |    10 | Medium       | -
 767 | Kallima limborgii                            |     2 | Low          | -
 768 | Kallima new stock Feb '24                    |     0 | Out of Stock | -
 769 | Kallima rumia                                |     4 | Low          | -
 770 | Khuanalna draluobi                           |     0 | Out of Stock | -
 771 | Khuanalna electra                            |     0 | Out of Stock | -
 772 | Lacanus fryi                                 |     0 | Out of Stock | Lucanidae
 773 | Lamenitis lymire                             |     0 | Out of Stock | -
 774 | Lampropepla rotschildii                      |     0 | Out of Stock | Buprestidae
 775 | Lamproptera curia                            |     0 | Out of Stock | -
 776 | Lamproptera meges                            |    12 | Medium       | -
 777 | LARGE                                        |     0 | Out of Stock | -
 778 | Leopa cellata                                |    12 | Out of Stock | -
 779 | Leopa sikkina                                |     1 | Out of Stock | -
 780 | Lepidiota bimaculata                         |     0 | Out of Stock | Scarabeidae
 781 | Lepidiota stigma                             |     0 | Out of Stock | Scarabeidae
 782 | Lepromantella albella                        |    10 | Medium       | -
 783 | Lethocerus grandis  water beetle             |     0 | Out of Stock | -
 784 | Lexias Jadaetina female                      |    50 | Medium       | -
 785 | Lexias Jadaetina male                        |    50 | Medium       | -
 786 | Lexias pardalis female                       |    30 | Medium       | -
 787 | Lexias pardalis male                         |     0 | Out of Stock | -
 788 | Libelulas sp                                 |     0 | Out of Stock | -
 789 | Limenitis arthemis                           |     0 | Out of Stock | -
 790 | Limenitis lymire                             |     0 | Out of Stock | -
 791 | Liocheles sp.                                |     0 | Out of Stock | Theraphosidae
 792 | Liproterix lyra                              |     0 | Out of Stock | -
 793 | Locust gregaria                              |     0 | Out of Stock | -
 794 | Lohita grandis                               |     0 | Out of Stock | -
 795 | Lompatera bicolorata                         |     0 | Out of Stock | Lucanidae
 796 | Lompatera lutea                              |     0 | Out of Stock | Lucanidae
 797 | long horn mixed                              |     0 | Out of Stock | Cerambycidae
 798 | Longhorn beetles                             |    12 | Medium       | Cerambycidae
 799 | Longhorn beetles (assorted)                  |     9 | Medium       | -
 800 | Longhorn grasshopper                         |     0 | Out of Stock | -
 801 | Lucanids sp                                  |     0 | Out of Stock | Lucanidae
 802 | Lucanus dybowskyi                            |     0 | Out of Stock | Lucanidae
 803 | Lucanus fryi                                 |     0 | Out of Stock | Lucanidae
 804 | Lucanus sericeus                             |     0 | Out of Stock | Lucanidae
 805 | Lybithea goefroyi                            |     0 | Out of Stock | -
 806 | Lycaenidae sp.                               |     0 | Out of Stock | -
 807 | lycosidae roseus                             |     0 | Out of Stock | Theraphosidae
 808 | lycosidae sp.                                |     0 | Out of Stock | Theraphosidae
 809 | Lynchinids (mixed)                           |    22 | Medium       | -
 810 | Lyropteryx appolonia                         |     0 | Out of Stock | -
 811 | Lyropteryx lyra                              |     0 | Out of Stock | -
 812 | Macrodontia cervicornis                      |     1 | Out of Stock | Cerambycidae
 813 | Macrodontia cervicornis (M)                  |     6 | Medium       | Cerambycidae
 814 | Macrodorcus arrowi                           |     0 | Out of Stock | Lucanidae
 815 | Macrotristia chantrainei                     |     0 | Out of Stock | -
 816 | Malinaea comma                               |     0 | Out of Stock | -
 817 | Mantidae                                     |     5 | Medium       | -
 818 | Mantids (MAD)                                |     8 | Medium       | -
 819 | mantids madagascar                           |    15 | Medium       | -
 820 | Mantids sp                                   |     0 | Out of Stock | -
 821 | Mantodea madagascar                          |    15 | Medium       | -
 822 | Mantodea sp                                  |    28 | Medium       | -
 823 | Marmessoidea rosea     female                |     2 | Low          | -
 824 | Marmessoidea rosea  male                     |    10 | Medium       | -
 825 | Marpesia coresia                             |    40 | Medium       | -
 826 | Marpesia corinna                             |    60 | High         | -
 827 | Marpesia marcella                            |     0 | Out of Stock | -
 828 | Marpesia petreus                             |    29 | Medium       | -
 829 | Mastododera cocinea                          |     0 | Out of Stock | Cerambycidae
 830 | Mecynorrhina harrisi                         |    15 | Medium       | Cetonidae
 831 | Mecynorrhina torquata poggei                 |     1 | Low          | Cetonidae
 832 | Megacera                                     |     2 | Low          | Dynastinae
 833 | Megaceras briansaltini                       |     2 | Out of Stock | Scarabeidae
 834 | Megacrania batesii                           |     0 | Out of Stock | -
 835 | Megaloprepus sp.                             |    25 | Medium       | -
 836 | Megalorrhina harrisi f                       |    12 | Medium       | Cetonidae
 837 | Megaloxantha bicolor                         |    28 | Medium       | Buprestidae
 838 | Megaloxantha purpurascens                    |    40 | Medium       | Buprestidae
 839 | Megascolia azurea                            |     1 | Low          | -
 840 | Megascolia procer                            |     0 | Out of Stock | -
 841 | Megascolia sp1                               |     0 | Out of Stock | -
 842 | Megascolia velutina                          |     0 | Out of Stock | -
 843 | Megasoma actaeon                             |    40 | Out of Stock | Cerambycidae
 844 | Megasoma acteon                              |    10 | Medium       | Scarabeidae
 845 | Megasoma elaphas                             |     2 | Low          | Scarabeidae
 846 | Megasoma rex                                 |     9 | Out of Stock | Cerambycidae
 847 | Melanis pixe                                 |     0 | Out of Stock | -
 848 | Melanocyma faunula                           |     0 | Out of Stock | -
 849 | Melolonthidae sp                             |    89 | High         | Melolonthidae
 850 | Memphis glaucone                             |     0 | Out of Stock | -
 851 | Metallyticus splendidus                      |     4 | Out of Stock | -
 852 | Metallyticus splendidus    female            |     3 | Low          | -
 853 | Metallyticus splendidus    male              |     3 | Low          | -
 854 | Metamymorpha apicalis                        |    11 | Medium       | Buprestidae
 855 | Metamymorpha gloriosa                        |    15 | Medium       | Buprestidae
 856 | Metamymorpha hauseri                         |     5 | Medium       | Buprestidae
 857 | Metamymorpha nigrofasciatus                  |    10 | Medium       | Buprestidae
 858 | Metopodontus bison                           |     0 | Out of Stock | Lucanidae
 859 | Microstigma rotundatum                       |    28 | Medium       | -
 860 | Millipedes                                   |    10 | Out of Stock | -
 861 | Millipedes sp                                |     8 | Out of Stock | -
 862 | Millonia                                     |    40 | Medium       | -
 863 | Mimathyma schrenkii                          |    60 | High         | -
 864 | Moduza procris                               |     0 | Out of Stock | Papilionidae
 865 | Mormolyce castelnaudii                       |    15 | Out of Stock | Carabidae
 866 | Mormolyce phyllodes                          |     0 | Out of Stock | Carabidae
 867 | Morpho A2                                    |     0 | Out of Stock | -
 868 | Morpho achilles                              |     4 | Low          | -
 869 | Morpho adonis                                |   100 | High         | Papilionidae
 870 | Morpho amanthonte A1                         |   105 | High         | Papilionidae
 871 | Morpho amphitrion                            |     0 | Out of Stock | Papilionidae
 872 | Morpho aurora                                |    25 | Medium       | Papilionidae
 873 | Morpho cacica                                |     3 | Out of Stock | -
 874 | Morpho catenaria                             |    30 | Out of Stock | -
 875 | Morpho cypris                                |    10 | Medium       | -
 876 | Morpho deidamia                              |    40 | Medium       | Papilionidae
 877 | Morpho didius                                |   190 | High         | -
 878 | Morpho epistrophus catenaria                 |     0 | Out of Stock | -
 879 | Morpho eugenia                               |     9 | Out of Stock | -
 880 | Morpho godarti                               |     9 | Medium       | -
 881 | Morpho granadensis                           |     0 | Out of Stock | -
 882 | Morpho helena                                |    36 | Medium       | -
 883 | Morpho helenor                               |     0 | Out of Stock | -
 884 | Morpho juturna                               |     1 | Low          | -
 885 | Morpho luna                                  |    40 | Medium       | -
