====================================================
 WISP-FLOW INVENTORY — FULL CLEANED SPECIMEN LIST
====================================================
Total DB rows fetched : 3402
Unique specimens      : 1447
Total units in stock  : 39,433
----------------------------------------------------
Out of Stock (0)      : 749
Low Stock    (1-19)   : 308
Medium Stock (20-49)  : 176
High Stock   (50+)    : 214
====================================================

#    | Scientific Name                              | Qty   | Condition    | Family
 101 | Appias phoebe                                |     0 | Out of Stock | -
 102 | Appias sabina                                |     0 | Out of Stock | Danaidae
 103 | Appias sylvia                                |     0 | Out of Stock | Danaidae
 104 | Appias wardii                                |     0 | Out of Stock | -
 105 | Arcas imperialis                             |    20 | Medium       | -
 106 | Argema mittrei    FEMALE                     |     0 | Out of Stock | -
 107 | Argema mittrei    MALE                       |     0 | Out of Stock | -
 108 | Argynius paphia                              |    70 | High         | -
 109 | Argynnis paphia                              |    70 | High         | -
 110 | Argyreus hyperbius                           |     0 | Out of Stock | -
 111 | Arhopala eridamus                            |    16 | Medium       | -
 112 | Arhopala eumolphus                           |     0 | Out of Stock | -
 113 | Arhopala hercules                            |     0 | Out of Stock | -
 114 | Aristobia freneyi                            |     0 | Out of Stock | Cerambycidae
 115 | Aristobia horridula                          |     0 | Out of Stock | Cerambycidae
 116 | Aristobia voeti                              |     0 | Out of Stock | Cerambycidae
 117 | Ascalapidae                                  |    10 | Medium       | -
 118 | Ascia bunaea                                 |   100 | High         | -
 119 | Asterope markii                              |     0 | Out of Stock | -
 120 | Asterope puchelli                            |   350 | High         | -
 121 | Athyma reta                                  |     0 | Out of Stock | Heliconiidae
 122 | Atrophaneura dixoni                          |     0 | Out of Stock | -
 123 | Atrophaneura luchti female                   |    13 | Medium       | -
 124 | Atrophaneura luchti Male                     |    10 | Medium       | -
 125 | Atrophaneura polyeuctes                      |    42 | Medium       | -
 126 | Atrophaneura priapus Female                  |    12 | Medium       | -
 127 | Atrophaneura priapus Male                    |    12 | Medium       | -
 128 | Atrophaneura semperi female                  |     0 | Out of Stock | -
 129 | Atrophaneura semperi male                    |     0 | Out of Stock | -
 130 | Attacus ceasar                               |     0 | Out of Stock | -
 131 | Attlas attacus  female                       |   110 | High         | -
 132 | Attlas attacus male                          |    40 | Medium       | -
 133 | Atyriodes janeira                            |    30 | Medium       | -
 134 | Aulraches miliaris                           |    18 | Medium       | -
 135 | Autocrates waldenfelsi                       |     0 | Out of Stock | Lucanidae
 136 | Avicularia antinous                          |     0 | Out of Stock | Theraphosidae
 137 | Avicularia cavimanus                         |     0 | Out of Stock | Theraphosidae
 138 | Avicularia chaocana                          |     0 | Out of Stock | Theraphosidae
 139 | Avicularia lividum                           |     0 | Out of Stock | Theraphosidae
 140 | Avicularia minax  sm                         |     0 | Out of Stock | Theraphosidae
 141 | Avicularia purpurea                          |     0 | Out of Stock | Theraphosidae
 142 | Avicularia seemanni                          |     0 | Out of Stock | Theraphosidae
 143 | Avicularia sp                                |     0 | Out of Stock | Theraphosidae
 144 | Ayuthia spectabile                           |    34 | Medium       | -
 145 | Baeotus japetus                              |    15 | Medium       | -
 146 | Balinta tenebriscosa                         |     0 | Out of Stock | Cetonidae
 147 | Bassarona patala taoona                      |     0 | Out of Stock | -
 148 | Batesia hypochlora                           |    30 | Out of Stock | -
 149 | Batocera brunyi                              |     0 | Out of Stock | Cerambycidae
 150 | Batocera davidis                             |     0 | Out of Stock | Cerambycidae
 151 | Batocera facsiata                            |     0 | Out of Stock | Cerambycidae
 152 | Batocera hercules                            |     0 | Out of Stock | Cerambycidae
 153 | Batocera laena                               |     0 | Out of Stock | Cerambycidae
 154 | Batocera lineolata                           |     0 | Out of Stock | Cerambycidae
 155 | Batocera nemophas                            |     0 | Out of Stock | Cerambycidae
 156 | Batocera numitor                             |     0 | Out of Stock | Cerambycidae
 157 | Batocera parryi                              |     0 | Out of Stock | Cerambycidae
 158 | Batocera robus                               |     0 | Out of Stock | Cerambycidae
 159 | Batocera roylei                              |     0 | Out of Stock | Cerambycidae
 160 | Batocera wallacei                            |     0 | Out of Stock | Cerambycidae
 161 | Batocera weiskei                             |     0 | Out of Stock | Cerambycidae
